PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,0,0,22.0,1,0,0,7.25,0,0
2,1,1,1,1,38.0,1,0,1,71.2833,1,1
3,1,3,2,1,26.0,0,0,2,7.925,0,0
4,1,1,3,1,35.0,1,0,3,53.1,2,0
5,0,3,4,0,35.0,0,0,4,8.05,0,0
6,0,3,5,0,29.69911764705882,0,0,5,8.4583,0,2
7,0,1,6,0,54.0,0,0,6,51.8625,3,0
8,0,3,7,0,2.0,3,1,7,21.075,0,0
9,1,3,8,1,27.0,0,2,8,11.1333,0,0
10,1,2,9,1,14.0,1,0,9,30.0708,0,1
11,1,3,10,1,4.0,1,1,10,16.7,4,0
12,1,1,11,1,58.0,0,0,11,26.55,5,0
13,0,3,12,0,20.0,0,0,12,8.05,0,0
14,0,3,13,0,39.0,1,5,13,31.275,0,0
15,0,3,14,1,14.0,0,0,14,7.8542,0,0
16,1,2,15,1,55.0,0,0,15,16.0,0,0
17,0,3,16,0,2.0,4,1,16,29.125,0,2
18,1,2,17,0,29.69911764705882,0,0,17,13.0,0,0
19,0,3,18,1,31.0,1,0,18,18.0,0,0
20,1,3,19,1,29.69911764705882,0,0,19,7.225,0,1
21,0,2,20,0,35.0,0,0,20,26.0,0,0
22,1,2,21,0,34.0,0,0,21,13.0,6,0
23,1,3,22,1,15.0,0,0,22,8.0292,0,2
24,1,1,23,0,28.0,0,0,23,35.5,7,0
25,0,3,7,1,8.0,3,1,7,21.075,0,0
26,1,3,24,1,38.0,1,5,24,31.3875,0,0
27,0,3,25,0,29.69911764705882,0,0,25,7.225,0,1
28,0,1,26,0,19.0,3,2,26,263.0,8,0
29,1,3,27,1,29.69911764705882,0,0,27,7.8792,0,2
30,0,3,28,0,29.69911764705882,0,0,28,7.8958,0,0
31,0,1,29,0,40.0,0,0,29,27.7208,0,1
32,1,1,30,1,29.69911764705882,1,0,30,146.5208,9,1
33,1,3,31,1,29.69911764705882,0,0,31,7.75,0,2
34,0,2,32,0,66.0,0,0,32,10.5,0,0
35,0,1,33,0,28.0,1,0,33,82.1708,0,1
36,0,1,34,0,42.0,1,0,34,52.0,0,0
37,1,3,35,0,29.69911764705882,0,0,35,7.2292,0,1
38,0,3,36,0,21.0,0,0,36,8.05,0,0
